Category,Item,Vendor Name,Contact Name,Vendor Number,Vendor Email,Previously Used,Contacted On,Made Contact With,Availability,Davis County,Utah County,Salt Lake County,Tags,Notes
Landscape,Landscape Contractors,Adrian lawn care and snow removal,,801-859-5941,,FALSE,9/9/24,TRUE,TRUE,FALSE,FALSE,FALSE,"lawn care, snow removal, window cleaning, irrigation repairs, tree removals",
Landscape,Landscape Contractors,Rjt services LLC,Richard,801-833-3727,rjtservices0@gmail.com,FALSE,9/9/24,TRUE,TRUE,FALSE,FALSE,FALSE,"landscaping services, fence, concrete",
Landscape,Landscape Contractors,ATG Lanscaping,Ian Alexander,619-777-9011,iancalexander@icloud.com,FALSE,9/11/24,TRUE,TRUE,FALSE,TRUE,TRUE,"landscaping services,Irrigation Services,Tree Services",
Landscape,Landscape Contractors,B&B Landscaping and Snow Removal,Nate Coombs,435-731-0475,nate@bblandandsnow.com,FALSE,9/11/24,TRUE,TRUE,FALSE,FALSE,TRUE,"landscaping, irrigation repairs, tree services, snow removal ",
Landscape,Landscape Contractors,Total Landscape Management,Scott Bennett,801-512-1663,scott@tlmllc.com,FALSE,9/11/24,TRUE,FALSE,FALSE,FALSE,TRUE,"Landscaping, snow removal, concrete, irrigation, paver, Tree install",
Landscape,Landscape Contractors,Western Winds Landscaping,Toby Atkinson,385-349-1914,,FALSE,9/11/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM / Text 9/20/24
Landscape,Landscape Contractors,Dig-it Dirt Works and Landscape,Ashleigh Crabtree,435-817-6808,,FALSE,9/13/24,TRUE,TRUE,FALSE,FALSE,FALSE,,"Leaving company call back 7 days will put me in contact with new point of contact.  Returned call 9/26/24, she's in a meeting and will call me back this afternoon"
Landscape,Landscape Contractors,South valley landscaping,Brad Crandall,208-520-1853,,FALSE,9/13/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Landscape,Landscape Contractors,Rugged Oaks,Douglas Belshe,801-879-3102,,FALSE,9/13/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Landscape,Landscape Contractors,American Roadway Weed Control,German Mujica,435-962-1401,germanmujica75@gmail.com,FALSE,9/13/24,TRUE,TRUE,FALSE,TRUE,TRUE,"Landscaping, Leaf Control, Tree install and trimming, snow removal, irrigation repairs",
Landscape,Landscape Contractors,Innova Space Landscaping & Design,Jose Romeo Lopez Morales,385-335-7830,innovaspacelandscaping@gmail.com,FALSE,9/13/24,TRUE,TRUE,TRUE,TRUE,TRUE,"Landscaping, irrigation, tree planting, pavers, retaining walls, snow removal, tree trimming",VM
Landscape,Landscape Contractors,The Ground Guys,Mayra Cruz,559-375-5473,mayra.cruz@groundsguys.com,FALSE,9/16/24,TRUE,FALSE,FALSE,TRUE,FALSE,"Landscaping, Tree Installation and trimming, irrigation repairs",
Landscape,Landscape Contractors,Pro forma,Seth Gergetz,435-851-4402,,FALSE,9/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Landscape,Landscape Contractors,MSR3 Landscape,Sione Fa,435-680-8752,,FALSE,9/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Landscape,Landscape Contractors,Urban Forest Landscaping,Talon Garrick,801-671-8573,talon@urbanforestlandscape.com,FALSE,9/16/24,TRUE,TRUE,FALSE,TRUE,FALSE,"Landscape services, Tree installation, ",
Landscape,Landscape Contractors,Tac Lawn Care,Trevan Conrad,801-362-7825,,FALSE,9/16/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM/ Received text 9/20/24: I’ll call you in a little bit. I have meetings today
Landscape,Landscape Contractors,Tough Terrain Landscaping,Wade Purdy,385-207-6820,,FALSE,9/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,All American Contractors,Adrian Brewer,801-403-0897,Adrian@aacontractorsutah.com,FALSE,9/18/24,TRUE,TRUE,TRUE,TRUE,TRUE,,VM
Maintenance and Repairs,General Contractors,Innovative Construction Products,Caden Christenson,435-640-8709,caden@innovativeconstructionproductsllc.com,FALSE,9/18/24,TRUE,TRUE,TRUE,FALSE,TRUE, ,
Maintenance and Repairs,General Contractors,A2 Custom Builders,Casey Green,801-721-7015,,FALSE,9/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Maverick Construction Inc.,Craig Grant,801 573 1144,,FALSE,9/18/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Lava Construction LLC,Curtis Rhoades,208-520-9415,,FALSE,9/20/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Evolution Design Build Group,Dave Dopita,435-901-5195,,FALSE,9/20/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Natay Construction,Eric Natay,801-686-5185,eric@natayconstruction.com,FALSE,9/20/24,TRUE,TRUE,TRUE,TRUE,TRUE,,
Maintenance and Repairs,General Contractors,RMC Construction Inc,Fred Smith,801-455-6877,,FALSE,9/20/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Total Interiors Construction,Jay Matero,801-680-0192,jay@ticoemail.com,FALSE,9/20/24,TRUE,TRUE,TRUE,TRUE,TRUE,"Primarily commercial, Core: Property Improvement ",VM
Maintenance and Repairs,General Contractors,Reitz Craft Construction,Jeffrey Reitz,385-227-4154,,FALSE,9/23/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Smith Builders ,Jeremiah Smith,801-647-7123,,FALSE,9/23/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Quality Home Solutions,Jeremy Anderson,801-694-7790,,FALSE,9/23/24,TRUE,FALSE,FALSE,FALSE,FALSE,,VM & Text
Maintenance and Repairs,General Contractors,Venari Construction,Kenny Guthrie,970-420-7527,,FALSE,9/23/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Elevation Construction,Liz Betts,208-339-3531,,FALSE,9/23/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,Rock Top Construction.,Lon VomBaur,801-567-1234,lon@rock-top.com,FALSE,9/25/24,TRUE,TRUE,TRUE,TRUE,TRUE,,
Maintenance and Repairs,General Contractors,Birch Design & Build LLC,Roddy Hipps,801-893-8619,,FALSE,9/25/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,General Contractors,AJER Properties,Rustyn Smith,801-712-2441,rustynsmith@outlook.com,FALSE,9/25/24,TRUE,TRUE,TRUE,FALSE,TRUE,,VM
Maintenance and Repairs,General Contractors,SBS Builder's,Shaun Shellabarger,385-289-7551,shaun.s@sbs-builders.com,FALSE,9/25/24,TRUE,TRUE,TRUE,FALSE,FALSE,,
Maintenance and Repairs,General Contractors,J.O.A.T General Contracting LLC,Zayden Hunlow,801-835-4550,joat.801services@gmail.com,FALSE,9/27/24,TRUE,TRUE,FALSE,TRUE,TRUE,,
Maintenance and Repairs,Plumbing Services,Burtons plumbing & Mechanichal,Burton Maynes,801-842-5130,burtonsplumbing.mech@outlook.com,FALSE,9/27/24,TRUE,TRUE,FALSE,FALSE,TRUE,,
Maintenance and Repairs,Plumbing Services,Salt Lake Plumbing,Chad Brasier,801-874-4606,,FALSE,9/27/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM Not Setup
Maintenance and Repairs,Plumbing Services,D Star Plumbing,Dan Butler,385-502-8883,dstarplumbin@gmail.com,FALSE,9/27/24,TRUE,TRUE,TRUE,FALSE,TRUE,Mostly Davis,
Maintenance and Repairs,Plumbing Services,Adaptive Plumbing Solutions,Emily Westfahl,801-903-3363,,FALSE,9/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,Plumbing Services,Wrights Plumbing and Rooter,James Wright,801-662-8786,,FALSE,9/30/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,Plumbing Services,Adaptive Plumbing Solutions,Jared Pettit,801-900-8333,customerservice@adaptps.com,FALSE,9/30/24,TRUE,TRUE,FALSE,TRUE,TRUE,,
Maintenance and Repairs,Plumbing Services,S&B Plumbing,Jason Haynes,801-513-4429,sbputah@gmail.com,FALSE,9/30/24,TRUE,TRUE,TRUE,TRUE,TRUE,"Spoke w sent to ""Valecia""",
Maintenance and Repairs,Plumbing Services,Copper Peaks plumbing,Jason Stevens,801-916-2287,copperpeaksplumbing@gmail.com,FALSE,9/30/24,TRUE,TRUE,TRUE,TRUE,TRUE,,
Maintenance and Repairs,Plumbing Services,The Water Doctor,Jeremy Crook,408-665-9809,,FALSE,10/2/24,FALSE,FALSE,FALSE,FALSE,FALSE,,No VM
Maintenance and Repairs,Plumbing Services,Evolution Plumbing,Josh Fuit,801-440-0391,,FALSE,10/2/24,FALSE,FALSE,FALSE,FALSE,FALSE,,VM
Maintenance and Repairs,Plumbing Services,Eld Justin Time plumbing,Justin Donaldson,801-918-6565,jd@getjustintime.com,FALSE,10/2/24,TRUE,TRUE,TRUE,TRUE,TRUE,,
Maintenance and Repairs,Plumbing Services,Goff Plumbing,Malachi Goff,801-791-4207,goff.bids@gmail.com,FALSE,10/2/24,TRUE,TRUE,TRUE,TRUE,TRUE,,VM
Maintenance and Repairs,Plumbing Services,1st American Plumbing,Matthew Savas,801-386-9100,info@1stamericanplumbing.com,FALSE,10/2/24,TRUE,TRUE,FALSE,FALSE,TRUE,Spoke to and sent to Nicole,
Maintenance and Repairs,Plumbing Services,Culligan Water of Salt Lake City,Nick Topinka,801-664-8401,,FALSE,10/4/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Prime Flow Plumbing,Paul Hunt,385 332 2502,,FALSE,10/4/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Upfront Plumbing Drains Heating and Air,Ryan Jonas,801-633-7360,,FALSE,10/4/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,S&P Plumbing,Seth Johnson,385-251-5644,,FALSE,10/4/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Uintah Fireplace & Plumbing,Steve VanQuill,801-797-4490,,FALSE,10/4/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
Maintenance and Repairs,Plumbing Services,Tanner Smith Plumbing LLC,Tanner Smith,435-799-1098,,FALSE,10/7/24,FALSE,FALSE,FALSE,FALSE,FALSE,,
